---------------------------
Data Set: DictionarySets-1.2
Vanilla Training: 10533 ham and 10984 spam.
Testing: 6000 ham and 6000 spam.
Pollution Training: 0 ham and 26000 spam.
---------------------------


Unpolluted and Polluted Most Significant Features:
---------------------------
     Unpolluted                            Polluted                              
112  0.998484338161: pians                 0.998773507768: vain                  
113  0.998514361175: tongue                0.998799679915: oniine                
114  0.998524106264: materia               0.998818587556: natura                
115  0.998524106264: newsietter            0.998824758423: painter               
116  0.99853372434: inciude                0.998836908762: loo                   
117  0.99853372434: piaced                 0.998848810437: foreigner             
118  0.99854321787: penis                  0.998883097543: quark                 
119  0.99854321787: valium                 0.998894077169: impotence             
120  0.998552589257: technoiogy            0.998910147736: shouid                
121  0.998561840844: pharmacy              0.998915401302: oniy                  
122  0.998561840844: resuits               0.998915401302: piease                
123  0.998570974913: subject:viagra        0.998920604462: illustrator           
124  0.998614958449: paliourg              0.998935918657: subject:money         
125  0.998656315318: couid                 0.998974709501: andmanyother          
126  0.998664292075: remitted              0.999019394204: subject:cheap         
127  0.998679964799: potentia              0.999036196188: alcohol               
128  0.998717583357: 1618                  0.999040307102: dysfunction           
129  0.998732037194: dose                  0.999079566373: erections             
130  0.998732037194: xanax                 0.999101617089: pharmacy              
131  0.998766785421: ooking                0.999105189899: penis                 
132  0.998793242156: omit                  0.999129425421: materia               
133  0.998799679915: oniine                0.999136110578: 8bit%:23              
134  0.998812351544: unclaimed             0.999145947998: potentia              
135  0.998904843028: ail                   0.999164965671: tongue                
136  0.998910147736: shouid                0.999186109604: omit                  
137  0.998915401302: oniy                  0.999186109604: remitted              
138  0.998915401302: piease                0.999211770888: photoshop             
139  0.998935918657: subject:money         0.999217255175: ail                   
140  0.998940927277: serial                0.999219968799: unclaimed             
141  0.998974709501: andmanyother          0.999222663672: corel                 
142  0.999019394204: subject:cheap         0.999227997941: dose                  
143  0.999036196188: stationery            0.999235863474: wiil                  
144  0.999211770888: photoshop             0.99927054628: serial                 
145  0.999214522604: pills                 0.999339110001: stationery            
146  0.999222663672: corel                 0.999359795134: cialis                
147  0.999235863474: wiil                  0.999380932728: skip:i 20             
148  0.999359795134: cialis                0.999390986602: pills                 
149  0.999624028741: viagra                0.999624028741: viagra                
150  0.999632022242: php                   0.999632022242: php                   


Feature Comparison:
---------------------------
                   Unpolluted         Polluted           
kaminski           0.000176546745655  0.000176546745655  
subject:enron      0.000298230499039  0.000298230499039  
ena                0.000430663221361  0.000430663221361  
subject:hourahead  0.000437360287686  0.000437360287686  
hourahead          0.000437360287686  0.000437360287686  
westdesk           0.00049729251851   0.00049729251851   
mmbtu              0.000532607409161  0.000532607409161  
variances          0.00054684651841   0.0529333678453    
subject:hpl        0.000576258163657  0.000576258163657  
xls                0.000625956322159  0.000625956322159  
stinson            0.000653215270721  0.000653215270721  
crenshaw           0.000668747213553  0.000668747213553  
ees                0.000751377525463  0.000751377525463  
enronxgate         0.000796601168348  0.000796601168348  
sitara             0.00082281952825   0.00082281952825   
lavorato           0.000825839603597  0.000825839603597  
counterparty       0.000867219117364  0.000867219117364  
gibner             0.000867219117364  0.000867219117364  
enrononline        0.000880798590722  0.000880798590722  
eol                0.000884260168992  0.000884260168992  
ferc               0.00106913756237   0.00106913756237   
subject:nom        0.00107424206254   0.00107424206254   
calger             0.00111138552729   0.00111138552729   
vkamins            0.00120032008536   0.00120032008536   
vasant             0.00129720380513   0.00129720380513   
77002              0.00130472600754   0.00130472600754   
teco               0.0013357079252    0.0013357079252    
skilling           0.00135992747053   0.00135992747053   
zimin              0.00146627565982   0.00146627565982   
dynegy             0.00147589373565   0.00147589373565   
ebs                0.00154692334135   0.00154692334135   
shankman           0.0015795015795    0.0015795015795    
transwestern       0.0015795015795    0.0015795015795    
whalley            0.00159066808059   0.00159066808059   
subject:actuals    0.00160199359203   0.00160199359203   
calpine            0.00164895566141   0.00164895566141   
belden             0.0017116774439    0.0017116774439    
subject:crawler    0.00172479877348   0.00172479877348   
ene                0.00179354324432   0.184680380631     
shanbhogue         0.00179354324432   0.00179354324432   
noms               0.00179354324432   0.183166545182     
aep                0.00182260024301   0.00182260024301   
lokay              0.00182260024301   0.00182260024301   
clynes             0.00182260024301   0.00182260024301   
chokshi            0.00185261424455   0.00185261424455   
delainey           0.00189953566906   0.00189953566906   
5290               0.0019321597252    0.0019321597252    
socal              0.00198325253416   0.00198325253416   
fyi                0.00202584943526   0.000872868579339  
wellhead           0.00203712086917   0.00203712086917   
schoppe            0.00203712086917   0.00203712086917   
colwell            0.00205573321151   0.00205573321151   
fastow             0.0021749637506    0.0021749637506    
krishnarao         0.00219619326501   0.00219619326501   
wynne              0.00228542407313   0.00228542407313   
mrha               0.00230887634684   0.00230887634684   
cotten             0.00233281493002   0.00233281493002   
subject:ena        0.00235725510739   0.00235725510739   
nominations        0.00238221281101   0.224155927645     
tamarchenko        0.0024077046549    0.0024077046549    
milnthorp          0.0024077046549    0.0024077046549    
subject:noms       0.0024077046549    0.0024077046549    
713                0.00242835207221   0.000846087487472  
shona              0.00246036085293   0.00246036085293   
sherriff           0.00248756218905   0.00248756218905   
txu                0.00248756218905   0.00248756218905   
herod              0.00251537171604   0.00251537171604   
subject:houston    0.00251537171604   0.00251537171604   
tenaska            0.00254381006218   0.00254381006218   
masson             0.00257289879931   0.00257289879931   
steffes            0.00257289879931   0.00257289879931   
aimee              0.0026026604974    0.0026026604974    
egm                0.00263311878291   0.00263311878291   
haedicke           0.00263311878291   0.00263311878291   
ect                0.00282917152802   0.000916638847777  
daren              0.00317757321453   0.00117993782837   
subject:2001       0.00336904955476   0.00145221319044   
subject:meter      0.00549604755537   0.00237061676548   
hpl                0.00549641114931   0.00191807822818   
853                0.00679942522384   0.0022424372296    
8bit%:23           0.844827586207     0.999136110578     
skip:e 20          0.95871559633      0.998773507768     
skip:i 20          0.980349344978     0.999380932728     
recollect          0.99504950495      0.998561840844     
maintainer         0.995356037152     0.998570974913     
ment               0.995626822157     0.998570974913     
shareware          0.995626822157     0.998514361175     
reputable          0.995710200191     0.998606379684     
emerson            0.995867768595     0.998561840844     
nigerian           0.996014171833     0.998514361175     
depression         0.996083550914     0.998679964799     
orgasms            0.996277915633     0.998561840844     
lagos              0.996338486574     0.998514361175     
dieting            0.996338486574     0.998524106264     
obesity            0.996397117694     0.998588899341     
omega              0.996664195701     0.998597693986     
width              0.996664195701     0.998717583357     
unscrupulous       0.996806245564     0.998672174683     
skin               0.996977837475     0.998614958449     
unsuitable         0.996977837475     0.998588899341     
audition           0.997056899935     0.998717583357     
replicas           0.997094899935     0.998656315318     
winnings           0.997094899935     0.998687664042     
homeowner          0.997131931166     0.998664292075     
nero               0.997303774715     0.998773507768     
vain               0.997397339503     0.998773507768     
natura             0.997456189938     0.998818587556     
loo                0.997617787189     0.998836908762     
porn               0.997714575927     0.998759988978     
illustrator        0.997803806735     0.998920604462     
painter            0.997825036249     0.998824758423     
quark              0.99786628734      0.998883097543     
impotence          0.997944266788     0.998894077169     
miliion            0.997962879131     0.997962879131     
jebel              0.997962879131     0.997962879131     
technoiogies       0.997962879131     0.997962879131     
8834464            0.997962879131     0.997962879131     
foreigner          0.99798115747      0.998848810437     
computron          0.99798115747      0.99798115747      
4176               0.99798115747      0.99798115747      
specuiative        0.997999110716     0.997999110716     
prozac             0.997999110716     0.997999110716     
symantec           0.997999110716     0.997999110716     
subject:cialis     0.998016747466     0.998016747466     
internationa       0.998016747466     0.998016747466     
softwares          0.998034076016     0.998034076016     
aiso               0.998034076016     0.998034076016     
href               0.998067840275     0.998067840275     
miilion            0.998084291188     0.998084291188     
additiona          0.998100464331     0.998100464331     
subject:meds       0.998132004981     0.998132004981     
ars                0.998147385755     0.998147385755     
linux              0.998147385755     0.998147385755     
beiieves           0.998147385755     0.998147385755     
ine                0.998162515312     0.998162515312     
invoive            0.998177399757     0.998177399757     
subject:logo       0.998192044998     0.998192044998     
microcap           0.998220640569     0.998220640569     
inciuding          0.99824834566      0.99824834566      
alcohol            0.998275201227     0.999036196188     
dysfunction        0.998301245753     0.999040307102     
maiiings           0.998313975272     0.998313975272     
ciick              0.998313975272     0.998313975272     
subject: " >       0.998326515433     0.998326515433     
subject: ]         0.998338870432     0.998338870432     
subject:charset    0.998363041106     0.998363041106     
rolex              0.998431509237     0.998431509237     
subject:oem        0.998431509237     0.998431509237     
erections          0.998442367601     0.999079566373     
pians              0.998484338161     0.998484338161     
tongue             0.998514361175     0.999164965671     
materia            0.998524106264     0.999129425421     
newsietter         0.998524106264     0.998524106264     
piaced             0.99853372434      0.99853372434      
inciude            0.99853372434      0.99853372434      
valium             0.99854321787      0.99854321787      
penis              0.99854321787      0.999105189899     
technoiogy         0.998552589257     0.998552589257     
pharmacy           0.998561840844     0.999101617089     
resuits            0.998561840844     0.998561840844     
subject:viagra     0.998570974913     0.998570974913     
paliourg           0.998614958449     0.998614958449     
couid              0.998656315318     0.998656315318     
remitted           0.998664292075     0.999186109604     
potentia           0.998679964799     0.999145947998     
1618               0.998717583357     0.998717583357     
xanax              0.998732037194     0.998732037194     
dose               0.998732037194     0.999227997941     
ooking             0.998766785421     0.998766785421     
omit               0.998793242156     0.999186109604     
oniine             0.998799679915     0.998799679915     
unclaimed          0.998812351544     0.999219968799     
ail                0.998904843028     0.999217255175     
shouid             0.998910147736     0.998910147736     
piease             0.998915401302     0.998915401302     
oniy               0.998915401302     0.998915401302     
subject:money      0.998935918657     0.998935918657     
serial             0.998940927277     0.99927054628      
andmanyother       0.998974709501     0.998974709501     
subject:cheap      0.999019394204     0.999019394204     
stationery         0.999036196188     0.999339110001     
photoshop          0.999211770888     0.999211770888     
pills              0.999214522604     0.999390986602     
corel              0.999222663672     0.999222663672     
wiil               0.999235863474     0.999235863474     
cialis             0.999359795134     0.999359795134     
viagra             0.999624028741     0.999624028741     
php                0.999632022242     0.999632022242     
enron              4.89188924763e-05  4.89188924763e-05  
