---------------------------
Data Set: Mislabeled-Big
Vanilla Training: 8133 ham and 8584 spam.
Testing: 6000 ham and 6000 spam.
Pollution Training: 2400 ham and 2400 spam.
---------------------------


Unpolluted and Polluted Most Significant Features:
---------------------------
     Unpolluted                              Polluted                                Cluster (Unpolluted) 1 (104, 0)         Cluster (Unpolluted) 2 (0, 0)           Cluster (Unpolluted) 3 (59, 0)          Cluster (Unpolluted) 4 (43, 43)         Cluster (Unpolluted) 5 (66, 0)          Cluster (Unpolluted) 6 (38, 38)         Cluster (Unpolluted) 7 (0, 0)           Cluster (Unpolluted) 8 (58, 58)         Cluster (Unpolluted) 9 (25, 0)          Cluster (Unpolluted) 10 (32, 32)        Cluster (Unpolluted) 11 (35, 0)         Cluster (Unpolluted) 12 (46, 46)        Cluster (Unpolluted) 13 (28, 0)         Cluster (Unpolluted) 14 (15, 15)        Cluster (Unpolluted) 15 (23, 0)         Cluster (Unpolluted) 16 (58, 58)        Cluster (Unpolluted) 17 (32, 0)         Cluster (Unpolluted) 18 (49, 49)        Cluster (Unpolluted) 19 (118, 0)        Cluster (Unpolluted) 20 (86, 86)        Cluster (Unpolluted) 21 (20, 0)         Cluster (Unpolluted) 22 (37, 37)        Cluster (Polluted) 1 (59, 0)            Cluster (Polluted) 2 (59, 59)           Cluster (Polluted) 3 (23, 0)            Cluster (Polluted) 4 (67, 67)           Cluster (Polluted) 5 (60, 0)            Cluster (Polluted) 6 (82, 82)           Cluster (Polluted) 7 (258, 0)           Cluster (Polluted) 8 (121, 121)         Cluster (Polluted) 9 (1611, 0)          Cluster (Polluted) 10 (1255, 1255)      Cluster (Polluted) 11 (3751, 0)         Cluster (Polluted) 12 (1825, 1825)      Cluster (Polluted) 13 (0, 0)            Cluster (Polluted) 14 (17, 17)          Cluster (Polluted) 15 (190, 0)          Cluster (Polluted) 16 (13, 13)          Cluster (Polluted) 17 (3, 0)            Cluster (Polluted) 18 (54, 54)          Cluster (Polluted) 19 (2026, 0)         Cluster (Polluted) 20 (364, 364)        Cluster (Polluted) 21 (991, 0)          Cluster (Polluted) 22 (168, 168)        
11   0.000693481276006: mmbtu                0.00310559006211: subject:mentions      0.116233892961: feedback                N/A                                     0.153153101044: guys                    0.00445986124876: subject:vince         0.00260890259475: fyi                   0.0918367346939: ellison                N/A                                     0.00205573321151: calpine               0.164795236633: responsible             0.0027289266222: krishnarao             0.00106408134311: eol                   0.0918367346939: webber                 0.0812650617035: dennis                 0.00144472147138: ect                   0.128843159731: requested               0.00279676817899: socal                 0.00185261424455: transwestern          0.0676109936849: suggesting             0.0805123023465: extend                 0.00137656775772: vkamins               0.0761094141652: texaco                 0.00103472062543: ees                   0.00172479877348: memo                  0.12970479842: asked                    0.00530035335689: hickerson             0.0997492809067: attorneys              0.0351239903757: regulators             0.00102063960082: enronxgate            0.000877364008579: crenshaw             0.00570342205323: lotus                 0.0176669750847: michelle               0.000877364008579: crenshaw             0.000693481276006: mmbtu                0.00372208436725: adjustment            N/A                                     0.0890406039362: addressed              0.0212059988671: shirley                0.00137656775772: vkamins               0.221128633147: however                 0.00103472062543: ees                   0.0114489865719: presto                 0.000877364008579: crenshaw             0.00102529049897: enrononline           0.0211143563022: schedule               
12   0.000751377525463: xls                  0.00328707085464: hplno                 0.11731920435: resolve                  N/A                                     0.156609960862: hour                    0.00455005055612: shelly                0.00263311878291: noms                  0.0919380434691: 2000                   N/A                                     0.00221784130113: belden                0.179545062028: subject: :              0.0027289266222: tamarchenko            0.00137656775772: vkamins               0.100258696696: mark                    0.084242704262: allen                   0.0015795015795: skilling               0.131641552248: politicians             0.00298210735586: subject:ena           0.00197872669541: 713                   0.0694081191808: bandwidth              0.0815200406964: sachs                  0.00141110065851: calger                0.080083747479: meredith                0.00106408134311: eol                   0.00197872669541: 713                   0.151714937423: chapter                 0.00570342205323: subject:issues        0.104153017425: subject:spot            0.0359585922153: subject:california     0.00103472062543: ees                   0.00102063960082: enronxgate            0.00585175552666: mathematics           0.0182038608292: ebl                    0.00102063960082: enronxgate            0.000751377525463: xls                  0.00391644908616: lsk                   N/A                                     0.0913175005347: senate                 0.0219089607482: melissa                0.00141110065851: calger                0.2297207963: negotiate                 0.00105411103303: counterparty          0.0122889960496: hedging                0.00102063960082: enronxgate            0.00103472062543: ees                   0.0238095238095: deductions             
13   0.00084761725372: stinson               0.00372208436725: enrj                  0.130082717051: confirmed               N/A                                     0.157387569949: perform                 0.00474183350896: sempra                0.00263311878291: shona                 0.0928298050533: confirms               N/A                                     0.00233281493002: ebs                   0.186212978339: falling                 0.00279676817899: socal                 0.00141110065851: 77002                 0.103259482933: daniel                  0.0868080847483: hansen                 0.00197872669541: 713                   0.157894745464: original                0.00310559006211: subject:noms          0.00205573321151: lokay                 0.0737583775664: log                    0.0835306593227: hasn                   0.00144472147138: ect                   0.0822811910669: probably               0.001100513573: gibner                  0.00205573321151: calpine               0.151831654339: generally               0.00617283950617: calendars             0.114250266007: comfortable             0.0377785294494: steve                  0.00105411103303: counterparty          0.00102529049897: enrononline           0.00600801068091: puc                   0.0195606267144: subject:schedule       0.00102529049897: enrononline           0.00084761725372: stinson               0.00437317784257: patti                 N/A                                     0.106254725192: questions               0.0221133851208: 646                    0.00144472147138: ect                   0.233913517266: together                0.001100513573: gibner                  0.0124191662628: subject:nomination     0.00102529049897: enrononline           0.00105411103303: counterparty          0.0238095238095: renting                
14   0.000877364008579: crenshaw             0.00383855095712: txt                   0.131864649189: plants                  N/A                                     0.165624676124: interesting             0.0048439181916: attaching              0.00266429840142: tenaska               0.112676038581: barker                  N/A                                     0.00302216252518: milnthorp             0.193248802027: options                 0.00314905528341: pinnamaneni           0.00141110065851: calger                0.116044139757: responses               0.0870686010885: california             0.00205573321151: calpine               0.160375166831: couple                  0.00310559006211: subject:presentation  0.00211366838891: whalley               0.0813455739575: messages               0.0835306593227: lowered                0.00145678213014: teco                  0.0844960411657: mobil                  0.00124001102232: sitara                0.0024077046549: schoppe                0.152113232958: let                     0.00660885721803: derivatives           0.116044139757: responses               0.0398115169028: pat                    0.00105907272299: lavorato              0.00103472062543: ees                   0.00600801068091: turbines              0.0200738996001: invoices               0.00103472062543: ees                   0.000877364008579: crenshaw             0.00445986124876: tammy                 N/A                                     0.116233892961: feedback                0.0229217272832: bob                    0.001515661839: vasant                  0.245682092347: advance                 0.00124001102232: sitara                0.0124640016086: txt                    0.00103472062543: ees                   0.00105907272299: lavorato              0.0266272189349: coaching               
15   0.00102063960082: enronxgate            0.0038494439692: iferc                  0.133875920981: excellence              N/A                                     0.166941439423: proceed                 0.00506186726659: perlman               0.00298210735586: subject:ena           0.124658612876: manpower                N/A                                     0.00310559006211: subject:presentation  0.196063439841: owes                    0.00341463649898: louise                0.00172479877348: dynegy                0.118985490697: role                    0.0879508486082: obviously              0.00213371266003: ene                   0.175743634664: positions               0.00333580429948: luce                  0.00219619326501: aep                   0.0918367346939: 3015                   0.0841655427662: austin                 0.001515661839: vasant                  0.0857012321077: appears                0.00141110065851: calger                0.00246036085293: stacey                0.159247064835: separate                0.00667747487876: portland              0.12738342673: committee                0.0405950215834: rick                   0.00106408134311: eol                   0.00105411103303: counterparty          0.00617283950617: calculating           0.0211143563022: schedule               0.00105411103303: counterparty          0.00102063960082: enronxgate            0.00474183350896: outage                N/A                                     0.12738342673: committee                0.0232598022327: krishna                0.0015795015795: skilling               0.251358060492: glad                    0.00137656775772: vkamins               0.0129159708907: sally                  0.00105411103303: counterparty          0.00106408134311: eol                   0.0290162301147: suggests               
16   0.00102529049897: enrononline           0.00388855472807: subject:hour          0.136682114788: fairly                  N/A                                     0.17026769127: final                    0.00556242274413: subject:calpine       0.00298210735586: subject:october       0.126223794681: coffey                  N/A                                     0.00333580429948: luce                  0.202718406362: suppliers               0.00372208436725: masson                0.00185261424455: transwestern          0.12216082428: subject:firm             0.0918851457472: awarded                0.00219619326501: aep                   0.179545062028: subject: :              0.00341463649898: louise                0.00260890259475: fyi                   0.0918367346939: subject:coverage       0.0867237221678: assignment             0.0015795015795: skilling               0.0870686010885: california             0.00144472147138: ect                   0.00263311878291: shona                 0.17293050179: deal                     0.00715421303657: nesa                  0.128843159731: requested               0.0406407513736: meetings               0.001100513573: gibner                  0.00105907272299: lavorato              0.00634696755994: modelling             0.0228073364567: stuart                 0.00105907272299: lavorato              0.00102529049897: enrononline           0.00488060694767: hpl                   N/A                                     0.128072955876: manages                 0.0243105334221: meter                  0.00172479877348: dynegy                0.251679574101: industrial              0.00141110065851: calger                0.0133030662771: jay                    0.00105907272299: lavorato              0.001100513573: gibner                  0.0302013422819: 4748                   
17   0.00103472062543: ees                   0.00398582816652: lsk                   0.146218509261: subject:change          N/A                                     0.174886104439: forgot                  0.00570342205323: jacoby                0.00310559006211: nominations           0.138076950355: subject:holiday         N/A                                     0.00341463649898: louise                0.208597930324: nicely                  0.00428979980934: dabhol                0.00197872669541: 713                   0.128843159731: requested               0.0919380434691: 2000                   0.00233281493002: ebs                   0.183879478599: update                  0.00365927906683: subject:2001          0.00266429840142: subject:mentions      0.0992432808659: transition             0.0932815654746: robinson               0.00169875424689: subject:actuals       0.0873554142164: fred                   0.00146627565982: ferc                  0.00266429840142: tenaska               0.179545062028: subject: :              0.00738916256158: subject:neon          0.13061916735: michael                  0.042099336086: kyle                    0.00124001102232: sitara                0.00106408134311: eol                   0.00667747487876: portland              0.0229217272832: bob                    0.00106408134311: eol                   0.00103472062543: ees                   0.00506186726659: carr                  N/A                                     0.129696242389: subject:access          0.024443322008: karen                   0.00172479877348: memo                  0.273190798804: sent                    0.00144472147138: ect                   0.0143864109041: nom                    0.00106408134311: eol                   0.00120675784393: subject:nom           0.0302013422819: bucket                 
18   0.00105411103303: counterparty          0.00437317784257: citigroup             0.148805450687: closed                  N/A                                     0.176379760489: iso                     0.00570342205323: subject:issues        0.00314905528341: swaps                 0.139273762151: coo                     N/A                                     0.00360288230584: mrha                  0.214633919961: lay                     0.00445986124876: subject:vince         0.00205573321151: calpine               0.13309355516: input                    0.0926980260388: employees              0.00260890259475: fyi                   0.185119300944: evidence                0.00445986124876: hplo                  0.00279676817899: socal                 0.106254725192: questions               0.0950687470176: complicated            0.00172479877348: memo                  0.0874576281731: seperate               0.00172479877348: memo                  0.00266429840142: txu                   0.186742086886: subject:document        0.00835041716351: origination           0.131641552248: politicians             0.0446792846133: conference             0.00137656775772: vkamins               0.001100513573: gibner                  0.00715421303657: pops                  0.0240127124313: detected               0.001100513573: gibner                  0.00105411103303: counterparty          0.00517836593786: shipper               N/A                                     0.138076950355: audacious               0.0256698225399: dave                   0.00186799501868: shankman              0.287230135487: outlined                0.00172479877348: memo                  0.0147600198085: farmer                 0.001100513573: gibner                  0.00124001102232: sitara                0.0302013422819: kendall                
19   0.00105907272299: lavorato              0.00445986124876: lsp                   0.175402433923: donald                  N/A                                     0.176671353182: wholesale               0.00738916256158: megawatts             0.00328707085464: haedicke              0.139273762151: locked                  N/A                                     0.00365927906683: subject:2001          0.216523682174: subject: &              0.00488060694767: hpl                   0.00211366838891: whalley               0.133145859507: friday                  0.0945238591499: attached               0.00279676817899: clynes                0.188529206238: brief                   0.00445986124876: tammy                 0.00314905528341: swaps                 0.109535161692: 1986                    0.0982595139622: responded              0.00185261424455: transwestern          0.0883016749866: lawyers                0.00191570881226: zimin                 0.00279676817899: clynes                0.189477558034: purchases               0.00973744624143: netco                 0.13299509805: analysts                 0.0458630983525: speaker                0.00141110065851: 77002                 0.00124001102232: sitara                0.00738916256158: megawatts             0.0243105334221: meter                  0.00120675784393: subject:nom           0.00105907272299: lavorato              0.00530035335689: hernandez             N/A                                     0.139493955817: 912                     0.0257428196086: houston                0.00191570881226: zimin                 0.296511673104: management              0.00191570881226: zimin                 0.0147651469755: causey                 0.00124001102232: sitara                0.00137656775772: vkamins               0.0314940677488: comments               
20   0.00106408134311: eol                   0.0048439181916: enserch                0.179545062028: subject: :              N/A                                     0.179545062028: subject: :              0.00819672131148: subject:plant         0.00333580429948: subject:netco         0.139493955817: subject:models          N/A                                     0.00372208436725: tycholiz              0.216530744508: date                    0.00542822677925: eastrans              0.00233281493002: ebs                   0.13678222291: marketers                0.0950271009656: folder                 0.00319375443577: wynne                 0.189477558034: purchases               0.00488060694767: hpl                   0.00349107835531: kean                  0.114250266007: comfortable             0.0997492809067: attorneys              0.00197872669541: 713                   0.0893460488951: roles                  0.00197872669541: 713                   0.00310559006211: 3735                  0.193248802027: options                 0.0100222717149: 384258                 0.138346131126: approach                0.0465485887685: cfo                    0.00141110065851: calger                0.00137656775772: vkamins               0.00764006791171: timothy               0.0247317325309: woes                   0.00124001102232: sitara                0.00106408134311: eol                   0.00542822677925: ecom                  N/A                                     0.139493955817: feldman                 0.025821075663: subject:london          0.00197872669541: 713                   0.304118672355: etc                     0.00197872669541: 713                   0.014813357406: vince                   0.00137656775772: vkamins               0.00141110065851: 77002                 0.033460782463: nelson                  
